Fecha, Hora,Sistema, Area, Pronostico (MWh),,,
02/01/2020,6,SIN,PEN,1088.887,,,
02/01/2020,7,SIN,PEN,1116.318,,,
02/01/2020,8,SIN,PEN,1182.802,,,
02/01/2020,9,SIN,PEN,1301.05,,,
02/01/2020,10,SIN,PEN,1406.34,,,
02/01/2020,11,SIN,PEN,1463.292,,,
02/01/2020,12,SIN,PEN,1501.529,,,
02/01/2020,13,SIN,PEN,1517.33,,,
02/01/2020,14,SIN,PEN,1535.974,,,
02/01/2020,15,SIN,PEN,1553.89,,,
02/01/2020,16,SIN,PEN,1575.669,,,
02/01/2020,17,SIN,PEN,1588.537,,,
02/01/2020,18,SIN,PEN,1612.754,,,
02/01/2020,19,SIN,PEN,1668.415,,,
02/01/2020,20,SIN,PEN,1641.502,,,
02/01/2020,21,SIN,PEN,1618.41,,,
02/01/2020,22,SIN,PEN,1596.972,,,
02/01/2020,23,SIN,PEN,1548.26,,,
02/01/2020,24,SIN,PEN,1477.389,,,
03/01/2020,1,BCA,BCA,1134.8,,,
03/01/2020,2,BCA,BCA,1086.596,,,
03/01/2020,3,BCA,BCA,1053.212,,,
03/01/2020,4,BCA,BCA,1037.12,,,
03/01/2020,5,BCA,BCA,1047.335,,,
03/01/2020,6,BCA,BCA,1087.338,,,
03/01/2020,7,BCA,BCA,1153.266,,,
03/01/2020,8,BCA,BCA,1228.87,,,
03/01/2020,9,BCA,BCA,1279.955,,,
03/01/2020,10,BCA,BCA,1309.893,,,
03/01/2020,11,BCA,BCA,1340.568,,,
03/01/2020,12,BCA,BCA,1364.387,,,
03/01/2020,13,BCA,BCA,1371.214,,,
03/01/2020,14,BCA,BCA,1380.122,,,
03/01/2020,15,BCA,BCA,1383.356,,,
03/01/2020,16,BCA,BCA,1369.981,,,
03/01/2020,17,BCA,BCA,1377.355,,,
03/01/2020,18,BCA,BCA,1485.038,,,
03/01/2020,19,BCA,BCA,1497.307,,,
03/01/2020,20,BCA,BCA,1482.359,,,
03/01/2020,21,BCA,BCA,1455.391,,,
03/01/2020,22,BCA,BCA,1396.821,,,
03/01/2020,23,BCA,BCA,1326.576,,,
03/01/2020,24,BCA,BCA,1248.756,,,
03/01/2020,1,BCS,BCS,209.057,,,
03/01/2020,2,BCS,BCS,195.038,,,
03/01/2020,3,BCS,BCS,189.454,,,
03/01/2020,4,BCS,BCS,187.293,,,
03/01/2020,5,BCS,BCS,187.846,,,
03/01/2020,6,BCS,BCS,195.646,,,
03/01/2020,7,BCS,BCS,208.532,,,
03/01/2020,8,BCS,BCS,219.661,,,
03/01/2020,9,BCS,BCS,235.312,,,
03/01/2020,10,BCS,BCS,247.518,,,
03/01/2020,11,BCS,BCS,254.651,,,
03/01/2020,12,BCS,BCS,258.306,,,
03/01/2020,13,BCS,BCS,259.846,,,
03/01/2020,14,BCS,BCS,260.506,,,
03/01/2020,15,BCS,BCS,262.12,,,
03/01/2020,16,BCS,BCS,262.683,,,
03/01/2020,17,BCS,BCS,264.602,,,
03/01/2020,18,BCS,BCS,270.878,,,
03/01/2020,19,BCS,BCS,290.929,,,
03/01/2020,20,BCS,BCS,285.137,,,
03/01/2020,21,BCS,BCS,274.991,,,
03/01/2020,22,BCS,BCS,261.294,,,
03/01/2020,23,BCS,BCS,243.827,,,
03/01/2020,24,BCS,BCS,225.102,,,
03/01/2020,1,SIN,CEN,5879.957,,,
03/01/2020,2,SIN,CEN,5613.478,,,
03/01/2020,3,SIN,CEN,5371.859,,,
03/01/2020,4,SIN,CEN,5325.827,,,
03/01/2020,5,SIN,CEN,5332.791,,,
03/01/2020,6,SIN,CEN,5606.162,,,
03/01/2020,7,SIN,CEN,5930.23,,,
03/01/2020,8,SIN,CEN,6185.629,,,
03/01/2020,9,SIN,CEN,6518.959,,,
03/01/2020,10,SIN,CEN,6827.223,,,
03/01/2020,11,SIN,CEN,7034.416,,,
03/01/2020,12,SIN,CEN,7132.558,,,
03/01/2020,13,SIN,CEN,7175.018,,,
03/01/2020,14,SIN,CEN,7084.082,,,
03/01/2020,15,SIN,CEN,7098.739,,,
03/01/2020,16,SIN,CEN,7099.23,,,
03/01/2020,17,SIN,CEN,7089.117,,,
03/01/2020,18,SIN,CEN,7157.896,,,
03/01/2020,19,SIN,CEN,7459.964,,,
03/01/2020,20,SIN,CEN,7667.968,,,
03/01/2020,21,SIN,CEN,7560.281,,,
03/01/2020,22,SIN,CEN,7280.54,,,
03/01/2020,23,SIN,CEN,6986.208,,,
03/01/2020,24,SIN,CEN,6685.184,,,
03/01/2020,1,SIN,NES,4776.06,,,
03/01/2020,2,SIN,NES,4604.799,,,
03/01/2020,3,SIN,NES,4512.724,,,
03/01/2020,4,SIN,NES,4495.811,,,
03/01/2020,5,SIN,NES,4494.813,,,
03/01/2020,6,SIN,NES,4558.705,,,
03/01/2020,7,SIN,NES,4803.564,,,
03/01/2020,8,SIN,NES,5024.65,,,
03/01/2020,9,SIN,NES,5156.212,,,
03/01/2020,10,SIN,NES,5282.331,,,
03/01/2020,11,SIN,NES,5340.465,,,
03/01/2020,12,SIN,NES,5361.579,,,
03/01/2020,13,SIN,NES,5362.467,,,
03/01/2020,14,SIN,NES,5353.492,,,
03/01/2020,15,SIN,NES,5364.475,,,
03/01/2020,16,SIN,NES,5334.857,,,
03/01/2020,17,SIN,NES,5302.081,,,
03/01/2020,18,SIN,NES,5272.187,,,
03/01/2020,19,SIN,NES,5302.517,,,
03/01/2020,20,SIN,NES,5351.77,,,
03/01/2020,21,SIN,NES,5296.038,,,
03/01/2020,22,SIN,NES,5218.755,,,
03/01/2020,23,SIN,NES,5171.943,,,
03/01/2020,24,SIN,NES,5108.104,,,
03/01/2020,1,SIN,NOR,1938.121,,,
03/01/2020,2,SIN,NOR,1847.399,,,
03/01/2020,3,SIN,NOR,1784.541,,,
03/01/2020,4,SIN,NOR,1722.676,,,
03/01/2020,5,SIN,NOR,1694.726,,,
03/01/2020,6,SIN,NOR,1703.087,,,
03/01/2020,7,SIN,NOR,1747.132,,,
03/01/2020,8,SIN,NOR,1807.876,,,
03/01/2020,9,SIN,NOR,1823.7,,,
03/01/2020,10,SIN,NOR,1932.851,,,
03/01/2020,11,SIN,NOR,1988.023,,,
03/01/2020,12,SIN,NOR,2043.411,,,
03/01/2020,13,SIN,NOR,2077.244,,,
03/01/2020,14,SIN,NOR,2070.725,,,
03/01/2020,15,SIN,NOR,2079.543,,,
03/01/2020,16,SIN,NOR,2082.798,,,
03/01/2020,17,SIN,NOR,2070.483,,,
03/01/2020,18,SIN,NOR,2084.174,,,
03/01/2020,19,SIN,NOR,2127.107,,,
03/01/2020,20,SIN,NOR,2213.53,,,
03/01/2020,21,SIN,NOR,2192.151,,,
03/01/2020,22,SIN,NOR,2163.041,,,
03/01/2020,23,SIN,NOR,2071.786,,,
03/01/2020,24,SIN,NOR,1992.437,,,
03/01/2020,1,SIN,NTE,2512.673,,,
03/01/2020,2,SIN,NTE,2402.101,,,
03/01/2020,3,SIN,NTE,2332.742,,,
03/01/2020,4,SIN,NTE,2299.463,,,
03/01/2020,5,SIN,NTE,2291.578,,,
03/01/2020,6,SIN,NTE,2324.336,,,
03/01/2020,7,SIN,NTE,2400.6,,,
